	index	raw_category	category	count	nyuId	nyu40id	eigen13id	nyuClass	nyu40class	eigen13class	ModelNet40	ModelNet10	ShapeNetCore55	synsetoffset	wnsynsetid	wnsynsetkey	mpcat40index	mpcat40	OpenSceneMatterport3D40Label	OpenSceneMatterport3D40Index	OpenSceneMatterport3D40Count	OpenSceneMatterport3D80Label	OpenSceneMatterport3D80Index	OpenSceneMatterport3D80Count	OpenSceneMatterport3D160Label	OpenSceneMatterport3D160Index	OpenSceneMatterport3D160Count
352	353	hangers	hanger	6	211.0	40.0	7.0	hanger	otherprop	Objects					n03490884	hanger.n.02	39	objects		0	0		0	0	hanger	114	13
353	354	bushes	bush	6	82.0	40.0	7.0	plant	otherprop	Objects	plant				n13112664	shrub.n.01	14	plant	plant	13	632	plant	13	632	plant	13	632
354	355	floor/other room	floor /otherroom	6	11.0	2.0	5.0	floor	floor	Floor					n03365592	floor.n.01	2	floor	floor	4	2252	floor	4	2252	floor	4	2252
355	356	dinner placesetting	place mat	6	154.0	40.0	7.0	placemat	otherprop	Objects					n03952886	place_mat.n.01	39	objects		0	0		0	0	placemat	147	6
356	357	curtain valence	curtain valence	6	89.0	16.0	13.0	curtain	curtain	Window	curtain				n03151077	curtain.n.01	12	curtain	curtain	11	692	curtain	11	692	curtain	11	692
357	358	control	control	6		40.0	7.0		otherprop	Objects					n03096960	control.n.09	39	objects		0	0		0	0		0	0
358	359	tap	tap	6	9.0	40.0	7.0	faucet	otherprop	Objects			faucet	3325088.0	n04559451	water_faucet.n.01	39	objects	faucet	40	97	faucet	40	97	faucet	40	97
359	360	shampoo	shampoo	6	548.0	40.0	7.0	cleaner	otherprop	Objects					n04183516	shampoo.n.01	39	objects		0	0		0	0	cleaner	148	6
360	361	computer	computer	7	46.0	40.0	7.0	computer	otherprop	Objects					n03082979	computer.n.01	39	objects		0	0		0	0	computer	149	7
361	362	massage bed	massage bed	6	157.0	4.0	1.0	bed	bed	Bed	bed	bed	bed	2818832.0	n02818832	bed.n.01	11	bed	bed	19	270	bed	19	270	bed	19	270
362	363	knob	knob	6	652.0	40.0	7.0	knob	otherprop	Objects							40	misc		0	0		0	0	knob	150	6
363	364	door stopper	door stopper	6		40.0	7.0		otherprop	Objects							40	misc		0	0		0	0		0	0
364	365	bulletin board	bulletin board	6	408.0	38.0	7.0	board	otherstructure	Objects					n03211616	display_panel.n.01	22	tv_monitor		0	0		0	0	board	110	15
365	366	brick archway	archway	6	21.0	1.0	12.0	wall	wall	Wall					n02734217	arch.n.03	4	door	wall	1	7667	wall	1	7667	wall	1	7667
366	367	fruit bowl	fruit bowl	6	22.0	40.0	7.0	bowl	otherprop	Objects	bowl		bowl	2880940.0	n02880940	bowl.n.03	39	objects		0	0	bowl	73	35	bowl	73	35
367	368	electric wire casing	electric wire casing	5		40.0	7.0		otherprop	Objects							40	misc		0	0		0	0		0	0
368	369	bookcase	bookshelf	5	88.0	10.0	6.0	bookshelf	bookshelf	Furniture	bookshelf		bookshelf	2871439.0	n02871439	bookshelf.n.01	31	shelving		0	0	bookshelf	51	63	bookshelf	51	63
369	370	other room	unknown /otherroom	6	20.0	40.0	7.0	unknown	otherprop	Objects					n08632096	unknown.n.01	41	unlabeled		0	0		0	0		0	0
370	371	exercise machine	exercise equipment	5	457.0	39.0	6.0	excercise equipment	otherfurniture	Furniture					n04285146	sports_equipment.n.01	33	gym_equipment		0	0		0	0	excercise equipment	113	14
371	372	storage shelving	storage shelving	5	42.0	15.0	6.0	shelves	shelves	Furniture					n04190052	shelf.n.01	31	shelving	shelves	17	417	shelves	17	417	shelves	17	417
372	373	coffee maker	coffee maker	5		40.0	7.0		otherprop	Objects					n03063338	coffee_maker.n.01	37	appliances		0	0		0	0		0	0
373	374	shower ceiling	shower ceiling	5	4.0	22.0	3.0	ceiling	ceiling	Ceiling					n04208936	shower.n.01	23	shower	ceiling	3	2363	ceiling	3	2363	ceiling	3	2363
374	375	fire alarm	fire alarm	5	338.0	40.0	7.0	fire alarm	otherprop	Objects					n03343737	fire_alarm.n.02	39	objects		0	0	fire alarm	68	37	fire alarm	68	37
375	376	tissue paper	tissue paper	5	15.0	26.0	7.0	paper	paper	Objects							40	misc		0	0		0	0	paper	151	5
376	377	projector	projector	5	90.0	40.0	7.0	projector	otherprop	Objects					n04009552	projector.n.02	39	objects		0	0		0	0	projector	152	5
377	378	coat hanger	coat hanger	5	400.0	40.0	7.0	coat hanger	otherprop	Objects					n03057920	coat_hanger.n.01	39	objects		0	0		0	0	coat hanger	153	5
378	379	wall cubby	wall cubby	5		40.0	7.0		otherprop	Objects							40	misc		0	0		0	0		0	0
379	380	balcony railing	balcony railing	5	497.0	38.0	7.0	railing	otherstructure	Objects							40	misc		0	0	railing	44	83	railing	44	83
380	381	shelf /w clutter	shelf /w clutter	5	42.0	15.0	6.0	shelves	shelves	Furniture					n04190052	shelf.n.01	31	shelving	shelves	17	417	shelves	17	417	shelves	17	417
381	382	case	case	5	851.0	40.0	7.0	case	otherprop	Objects							40	misc		0	0		0	0	case	154	5
382	383	coat rack	coat rack	5		40.0	7.0		otherprop	Objects					n03059103	coatrack.n.01	40	misc		0	0		0	0		0	0
383	384	pan	pan	5	589.0	40.0	7.0	pan	otherprop	Objects					n03880531	pan.n.01	39	objects		0	0		0	0	pan	155	5
384	385	fridge	refrigerator	5	17.0	24.0	6.0	refridgerator	refridgerator	Furniture					n04070727	refrigerator.n.01	37	appliances		0	0	refridgerator	50	65	refridgerator	50	65
385	386	suitcase	luggage	5	783.0	40.0	7.0	luggage	otherprop	Objects					n02774630	baggage.n.01	39	objects		0	0		0	0	luggage	156	5
386	387	wardrobe rod	closet rod	5		40.0	7.0		otherprop	Objects					n04100174	rod.n.01	39	objects		0	0		0	0		0	0
387	388	hamper	clothes hamper	5	39.0	40.0	7.0	basket	otherprop	Objects			basket	2801938.0	n03050864	clothes_hamper.n.01	39	objects		0	0	basket	61	52	basket	61	52
388	389	trinket	trinket	5	844.0	40.0	7.0	trinket	otherprop	Objects					n02787435	bangle.n.02	39	objects		0	0		0	0	trinket	157	5
389	390	c;lothes hangers	clothes hanger	5	211.0	40.0	7.0	hanger	otherprop	Objects					n03057920	coat_hanger.n.01	39	objects		0	0		0	0	hanger	114	13
390	391	paper	paper	5	15.0	26.0	7.0	paper	paper	Objects					n14974264	paper.n.01	39	objects		0	0		0	0	paper	151	5
391	392	back splash	backsplash	5		40.0	7.0		otherprop	Objects							40	misc		0	0		0	0		0	0
392	393	chimney	chimney	5	702.0	38.0	7.0	chimney	otherstructure	Objects					n03017428	chimney.n.01	40	misc		0	0		0	0	chimney	158	5
393	394	arc	arch	5		40.0	7.0		otherprop	Objects					n02733524	arch.n.04	40	misc		0	0		0	0		0	0
394	395	shower bench	shower bench	5	204.0	39.0	6.0	bench	otherfurniture	Furniture	bench		bench	2828884.0	n02828884	bench.n.01	34	seating	bench	33	154	bench	33	154	bench	33	154
395	396	person	person	5	331.0	31.0	7.0	person	person	Objects	person				n05217688	person.n.02	39	objects		0	0		0	0	person	159	5
396	397	tablet	tablet	5	19.0	7.0	10.0	table	table	Table	table	table	table	4379243.0	n04379243	table.n.02	5	table	table	12	691	table	12	691	table	12	691
397	398	exercise mat	exercise mat	5	143.0	20.0	5.0	floor mat	floor mat	Floor					n03727946	mat.n.03	33	gym_equipment		0	0		0	0	floor mat	89	23
398	399	smoke alarm	smoke alarm	5	525.0	40.0	7.0	alarm	otherprop	Objects					n03343737	fire_alarm.n.02	39	objects		0	0		0	0	alarm	160	5
399	400	kitchen utensils	kitchen utensil	5	267.0	40.0	7.0	utensil	otherprop	Objects					n03621049	kitchen_utensil.n.01	39	objects		0	0		0	0	utensil	132	8
400	401	weights	weight	5		40.0	7.0		otherprop	Objects					n04571292	weight.n.02	33	gym_equipment		0	0		0	0		0	0
401	402	display cabinet	display cabinet	5	3.0	3.0	6.0	cabinet	cabinet	Furniture			cabinet	2933112.0	n02933112	cabinet.n.01	7	cabinet	cabinet	10	785	cabinet	10	785	cabinet	10	785
402	403	showcase	display cabinet	5	3.0	3.0	6.0	cabinet	cabinet	Furniture			cabinet	2933112.0	n02933112	cabinet.n.01	7	cabinet	cabinet	10	785	cabinet	10	785	cabinet	10	785
403	404	bedpost	bedpost	5		40.0	7.0		otherprop	Objects					n02821415	bedpost.n.01	11	bed		0	0		0	0		0	0
404	405	file cabinet	file cabinet	5	3.0	3.0	6.0	cabinet	cabinet	Furniture			cabinet	2933112.0	n02933112	cabinet.n.01	7	cabinet	cabinet	10	785	cabinet	10	785	cabinet	10	785
405	406	umbrella	umbrella	5	203.0	40.0	7.0	umbrella	otherprop	Objects					n04507155	umbrella.n.01	39	objects		0	0		0	0		0	0
406	407	massage table	massage table	5	19.0	7.0	10.0	table	table	Table	table	table	table	4379243.0	n04379243	table.n.02	5	table	table	12	691	table	12	691	table	12	691
407	408	laundry basket	laundry basket	5	164.0	40.0	7.0	laundry basket	otherprop	Objects			basket	2801938.0	n03050864	clothes_hamper.n.01	39	objects		0	0		0	0		0	0
408	409	jar	jar	5	70.0	40.0	7.0	jar	otherprop	Objects			jar	3593526.0	n03593526	jar.n.01	39	objects		0	0		0	0		0	0
409	410	exercise bike	exercise bike	5	457.0	39.0	6.0	excercise equipment	otherfurniture	Furniture					n03302671	exercise_bike.n.01	33	gym_equipment		0	0		0	0	excercise equipment	113	14
410	411	hose	hose	5		40.0	7.0		otherprop	Objects					n03539875	hose.n.03	40	misc		0	0		0	0		0	0
411	412	window dormer	window dormer	5		40.0	7.0		otherprop	Objects							40	misc		0	0		0	0		0	0
412	413	closet shelf	closet shelf	5		40.0	7.0		otherprop	Objects					n04190052	shelf.n.01	31	shelving		0	0		0	0		0	0
413	414	power breaker box	power breaker box	5	26.0	29.0	7.0	box	box	Objects							40	misc	box	30	172	box	30	172	box	30	172
414	415	smoke detector	smoke detector	5		40.0	7.0		otherprop	Objects							40	misc		0	0		0	0		0	0
415	416	door knob	door knob	4	27.0	40.0	7.0	door knob	otherprop	Objects							40	misc		0	0		0	0		0	0
416	417	shelf side	shelf	4	42.0	15.0	6.0	shelves	shelves	Furniture					n04190052	shelf.n.01	31	shelving	shelves	17	417	shelves	17	417	shelves	17	417
417	418	jacuzzi	jacuzzi	4		40.0	7.0		otherprop	Objects							40	misc		0	0		0	0		0	0
418	419	backpack	backpack	4	206.0	40.0	7.0	backpack	otherprop	Objects					n02769748	backpack.n.01	39	objects		0	0		0	0		0	0
419	420	wooden desk	desk	4	36.0	14.0	10.0	desk	desk	Table	desk	desk	table	4379243.0	n03179701	desk.n.01	5	table	desk	29	187	desk	29	187	desk	29	187
420	421	bath mat	bath mat	4		40.0	7.0		otherprop	Objects					n02807401	bath_mat.n.01	2	floor		0	0		0	0		0	0
421	422	unknown clutter	unknown clutter	4		40.0	7.0		otherprop	Objects							40	misc		0	0		0	0		0	0
422	423	hook	hook	4		40.0	7.0		otherprop	Objects							40	misc		0	0		0	0		0	0
423	424	sauna wall	wall	4	21.0	1.0	12.0	wall	wall	Wall					n04546855	wall.n.01	1	wall	wall	1	7667	wall	1	7667	wall	1	7667
424	425	elevator	elevator	4		40.0	7.0		otherprop	Objects							40	misc		0	0		0	0		0	0
425	426	tool	tool	4		40.0	7.0		otherprop	Objects					n04451818	tool.n.01	39	objects		0	0		0	0		0	0
426	427	recliner	recliner	4	5.0	5.0	4.0	chair	chair	Chair	chair	chair	chair	3001627.0	n04062428	recliner.n.01	3	chair	chair	7	1947	chair	7	1947	chair	7	1947
427	428	recessed wall	recessed wall	4	21.0	1.0	12.0	wall	wall	Wall							40	misc	wall	1	7667	wall	1	7667	wall	1	7667
428	429	closet bar	closet rod	4		40.0	7.0		otherprop	Objects					n04100174	rod.n.01	39	objects		0	0		0	0		0	0
429	430	tank	tank	4		40.0	7.0		otherprop	Objects							40	misc		0	0		0	0		0	0
430	431	toaster	toaster	4	251.0	40.0	7.0	toaster	otherprop	Objects					n04442312	toaster.n.02	37	appliances		0	0		0	0		0	0
431	432	toilet brush holder	toilet brush holder	4		40.0	7.0		otherprop	Objects							40	misc		0	0		0	0		0	0
432	433	handrail /otherroom	handrail /otherroom	4	453.0	38.0	7.0	banister	otherstructure	Objects					n02788148	bannister.n.02	30	railing	banister	23	241	banister	23	241	banister	23	241
433	434	landing	landing	6		40.0	7.0		otherprop	Objects					n03638511	landing.n.01	2	floor		0	0		0	0		0	0
434	435	book rack	book rack	4	224.0	39.0	6.0	bookrack	otherfurniture	Furniture							40	misc		0	0		0	0		0	0
435	436	wall mirror	mirror	4	122.0	19.0	7.0	mirror	mirror	Objects					n03773035	mirror.n.01	21	mirror	mirror	14	488	mirror	14	488	mirror	14	488
436	437	hunting trophy	hunting trophy	4	547.0	40.0	7.0	trophy	otherprop	Objects							40	misc		0	0		0	0		0	0
437	438	rod	rod	4		40.0	7.0		otherprop	Objects					n04100174	rod.n.01	39	objects		0	0		0	0		0	0
438	439	floor mat	floor mat	4	143.0	20.0	5.0	floor mat	floor mat	Floor					n03727837	mat.n.01	2	floor		0	0		0	0	floor mat	89	23
439	440	motion detector	motion detector	4		40.0	7.0		otherprop	Objects							40	misc		0	0		0	0		0	0
440	441	clothing	clothes	4	141.0	21.0	7.0	clothes	clothes	Objects					n02728440	apparel.n.01	38	clothes	clothes	36	125	clothes	36	125	clothes	36	125
441	442	can of paint	can of paint	4		40.0	7.0		otherprop	Objects							40	misc		0	0		0	0		0	0
442	443	medicine cabinet	medicine cabinet	4	3.0	3.0	6.0	cabinet	cabinet	Furniture			cabinet	2933112.0	n03742115	medicine_chest.n.01	7	cabinet	cabinet	10	785	cabinet	10	785	cabinet	10	785
443	444	sensor	sensor	4		40.0	7.0		otherprop	Objects					n03180969	detector.n.01	39	objects		0	0		0	0		0	0
444	445	cart	cart	4	305.0	40.0	7.0	cart	otherprop	Objects					n03484083	handcart.n.01	39	objects		0	0		0	0		0	0
445	446	slab	slab	4		38.0	7.0		otherstructure	Objects					n04233405	slab.n.01	39	objects		0	0		0	0		0	0
446	447	bean bag chair	bean bag chair	4	5.0	5.0	4.0	chair	chair	Chair	chair	chair	chair	3001627.0	n03001627	chair.n.01	3	chair	chair	7	1947	chair	7	1947	chair	7	1947
447	448	window valence	window valence	4	89.0	16.0	13.0	curtain	curtain	Window	curtain				n03151077	curtain.n.01	12	curtain	curtain	11	692	curtain	11	692	curtain	11	692
448	449	window /outside	window /outside	4	59.0	9.0	13.0	window	window	Window					n04587648	window.n.01	9	window	window	6	2013	window	6	2013	window	6	2013
449	450	pole	pole	4		40.0	7.0		otherprop	Objects					n03976657	pole.n.01	39	objects		0	0		0	0		0	0
450	451	picture / other room	picture /otherroom	4	64.0	11.0	8.0	picture	picture	Picture					n03931044	picture.n.01	6	picture	picture	5	2125	picture	5	2125	picture	5	2125
451	452	canister	canister	4	794.0	40.0	7.0	canister	otherprop	Objects							40	misc		0	0		0	0		0	0
452	453	washbasin counter	washbasin counter	4	7.0	12.0	6.0	counter	counter	Furniture	table	table	table	4379243.0	n03116530	counter.n.01	26	counter	counter	32	159	counter	32	159	counter	32	159
453	454	kitchen top	kitchen top	4	7.0	12.0	6.0	counter	counter	Furniture					n03118245	countertop.n.01	26	counter	counter	32	159	counter	32	159	counter	32	159
454	455	unknown object	object	4		40.0	7.0		otherprop	Objects					n00002684	object.n.01	39	objects		0	0		0	0		0	0
455	456	pitcher	pitcher	4	273.0	40.0	7.0	pitcher	otherprop	Objects					n03950228	pitcher.n.02	39	objects		0	0		0	0		0	0
456	457	showerhead	showerhead	4	650.0	40.0	7.0	shower head	otherprop	Objects					n04209383	showerhead.n.01	23	shower		0	0		0	0	shower head	94	19
457	458	podium	podium	4		40.0	7.0		otherprop	Objects					n03159640	dais.n.01	39	objects		0	0		0	0		0	0
458	459	ceiling vent	ceiling vent	4	25.0	38.0	7.0	air vent	otherstructure	Objects					n04526241	vent.n.01	40	misc	air vent	39	101	air vent	39	101	air vent	39	101
459	460	throw pillow	pillow	4	119.0	18.0	7.0	pillow	pillow	Objects			pillow	3938244.0	n03938244	pillow.n.01	8	cushion	pillow	8	1335	pillow	8	1335	pillow	8	1335
460	461	grill	grill	4	700.0	38.0	7.0	grill	otherstructure	Objects					n03459591	grill.n.02	40	misc		0	0		0	0		0	0
461	462	sink cabinet	sink cabinet	4	3.0	3.0	6.0	cabinet	cabinet	Furniture			cabinet	2933112.0	n02933112	cabinet.n.01	7	cabinet	cabinet	10	785	cabinet	10	785	cabinet	10	785
462	463	tapestry	tapestry	4		40.0	7.0		otherprop	Objects					n04393549	tapestry.n.02	39	objects		0	0		0	0		0	0
463	464	bed sheet	bed sheet	5	559.0	40.0	7.0	sheet	otherprop	Objects					n04188179	sheet.n.03	11	bed		0	0		0	0	sheet	101	17
464	465	shade	shade	4		40.0	7.0		otherprop	Objects					n04181718	shade.n.03	39	objects		0	0		0	0		0	0
465	466	doorknob	doorknob	4	27.0	40.0	7.0	door knob	otherprop	Objects					n03222959	doorknob.n.01	4	door		0	0		0	0		0	0
466	467	stair railing	banister	4	453.0	38.0	7.0	banister	otherstructure	Objects					n02788148	bannister.n.02	30	railing	banister	23	241	banister	23	241	banister	23	241
467	468	vacuum cleaner	vacuum cleaner	4	306.0	40.0	7.0	vacuum cleaner	otherprop	Objects					n04517823	vacuum.n.04	37	appliances		0	0		0	0		0	0
468	469	bed comforter	bed comforter	4	484.0	40.0	7.0	comforter	otherprop	Objects							40	misc		0	0		0	0		0	0
469	470	door / other room	door /otherroom	4	28.0	8.0	12.0	door	door	Wall	door				n03221720	door.n.01	4	door	door	2	2544	door	2	2544	door	2	2544
470	471	pictures	picture	4	64.0	11.0	8.0	picture	picture	Picture					n03931044	picture.n.01	6	picture	picture	5	2125	picture	5	2125	picture	5	2125
471	472	bed table	bed table	4	19.0	7.0	10.0	table	table	Table	table	table	table	4379243.0	n04379243	table.n.02	5	table	table	12	691	table	12	691	table	12	691
472	473	shirt	shirt	4		40.0	7.0		otherprop	Objects					n04197391	shirt.n.01	38	clothes		0	0		0	0		0	0
473	474	dressing table	dressing table	4	19.0	7.0	10.0	table	table	Table	table	table	table	4379243.0	n03238586	dressing_table.n.01	5	table	table	12	691	table	12	691	table	12	691
474	475	shower wall cubby	shower wall cubby	4		40.0	7.0		otherprop	Objects					n04208936	shower.n.01	23	shower		0	0		0	0		0	0
475	476	side wall	wall	4	21.0	1.0	12.0	wall	wall	Wall					n04546855	wall.n.01	1	wall	wall	1	7667	wall	1	7667	wall	1	7667
476	477	beside table	beside table	4	19.0	7.0	10.0	table	table	Table	table	table	table	4379243.0	n04379243	table.n.02	5	table	table	12	691	table	12	691	table	12	691
477	478	curb	curb	4		40.0	7.0		otherprop	Objects					n03149135	curb.n.02	39	objects		0	0		0	0		0	0
478	479	arches	arch	4		40.0	7.0		otherprop	Objects					n02733524	arch.n.04	40	misc		0	0		0	0		0	0
479	480	storage bin	storage bin	4	812.0	40.0	7.0	storage bin	otherprop	Objects							40	misc		0	0		0	0		0	0
480	481	support beam	support beam	4		40.0	7.0		otherprop	Objects					n02815950	beam.n.02	29	beam		0	0		0	0		0	0
481	482	globe	globe	5	347.0	40.0	7.0	globe	otherprop	Objects							40	misc		0	0		0	0		0	0
482	483	pantry	pantry	4		38.0	7.0		otherstructure	Objects					n03885535	pantry.n.01	40	misc		0	0		0	0		0	0
483	484	skateboard	skateboard	4	408.0	38.0	7.0	board	otherstructure	Objects			skateboard	4225987.0	n04225987	skateboard.n.01	39	objects		0	0		0	0	board	110	15
484	485	stove hood	range hood	4	380.0	38.0	7.0	range hood	otherstructure	Objects	range_hood				n04053677	range_hood.n.01	39	objects		0	0		0	0	range hood	142	7
485	486	cabin	cabin	4		40.0	7.0		otherprop	Objects							40	misc		0	0		0	0		0	0
486	487	shower bar	shower bar	4	51.0	38.0	7.0	bar	otherstructure	Objects							40	misc		0	0		0	0	bar	124	10
487	488	chaise	chaise	4	5.0	5.0	4.0	chair	chair	Chair	chair	chair	chair	3001627.0	n03002711	chaise_longue.n.01	3	chair	chair	7	1947	chair	7	1947	chair	7	1947
488	489	flower wash	flower vase	4	78.0	40.0	7.0	vase	otherprop	Objects	vase		jar	3593526.0	n04522168	vase.n.01	39	objects	vase	26	205	vase	26	205	vase	26	205
489	490	desk and chairs	desk and chairs	4		40.0	7.0		otherprop	Objects							40	misc		0	0		0	0		0	0
490	491	plant vase	flower vase	4	78.0	40.0	7.0	vase	otherprop	Objects	vase		jar	3593526.0	n04522168	vase.n.01	39	objects	vase	26	205	vase	26	205	vase	26	205
491	492	towel rack	towel rack	4		40.0	7.0		otherprop	Objects					n04459773	towel_rack.n.01	40	misc		0	0		0	0		0	0
492	493	cross	cross	4	49.0	40.0	7.0	monitor	otherprop	Objects					n03857828	oscilloscope.n.01	39	objects		0	0	monitor	54	60	monitor	54	60
493	494	sliding door	sliding door	4	28.0	8.0	12.0	door	door	Wall	door				n04239074	sliding_door.n.01	4	door	door	2	2544	door	2	2544	door	2	2544
494	495	cosmetics	cosmetics	4		40.0	7.0		otherprop	Objects					n03113152	cosmetic.n.01	39	objects		0	0		0	0		0	0
495	496	wall other room	wall /otherroom	4	21.0	1.0	12.0	wall	wall	Wall					n04546855	wall.n.01	1	wall	wall	1	7667	wall	1	7667	wall	1	7667
496	497	kettle	kettle	4	16.0	40.0	7.0	pot	otherprop	Objects					n03612814	kettle.n.01	39	objects	pot	28	185	pot	28	185	pot	28	185
497	498	junk	junk	4		40.0	7.0		otherprop	Objects					n14857897	debris.n.01	39	objects		0	0		0	0		0	0
498	499	stationery	stationery	3	15.0	26.0	7.0	paper	paper	Objects					n06258852	stationery.n.01	39	objects		0	0		0	0	paper	151	5
499	500	lights	light	3	144.0	35.0	7.0	lamp	lamp	Objects	lamp		lamp	3636649.0	n03636649	lamp.n.02	28	lighting	lamp	9	967	lamp	9	967	lamp	9	967
500	501	window / other room	window /otherroom	3	59.0	9.0	13.0	window	window	Window					n04587648	window.n.01	9	window	window	6	2013	window	6	2013	window	6	2013
501	502	dish cabinet	dish cabinet	3	3.0	3.0	6.0	cabinet	cabinet	Furniture			cabinet	2933112.0	n02933112	cabinet.n.01	7	cabinet	cabinet	10	785	cabinet	10	785	cabinet	10	785
502	503	wall panel	wall panel	3	21.0	1.0	12.0	wall	wall	Wall					n04548503	wall_panel.n.01	1	wall	wall	1	7667	wall	1	7667	wall	1	7667
503	504	gate	gate	3	223.0	38.0	7.0	gate	otherstructure	Objects					n03427296	gate.n.01	40	misc		0	0		0	0		0	0
504	505	safe	safe	3	26.0	29.0	7.0	box	box	Objects					n04125021	safe.n.01	39	objects	box	30	172	box	30	172	box	30	172
505	506	ventilation	ventilation	3		40.0	7.0		otherprop	Objects					n04526520	ventilation.n.02	39	objects		0	0		0	0		0	0
506	507	logs	firewood	3		40.0	7.0		otherprop	Objects					n15100644	firewood.n.01	40	misc		0	0		0	0		0	0
507	508	sliding doors	sliding door	3	28.0	8.0	12.0	door	door	Wall	door				n04239074	sliding_door.n.01	4	door	door	2	2544	door	2	2544	door	2	2544
508	509	shower rod	shower rod	3		40.0	7.0		otherprop	Objects					n04100174	rod.n.01	12	curtain		0	0		0	0		0	0
509	510	towel shelf	towel shelf	3	42.0	15.0	6.0	shelves	shelves	Furniture					n04190052	shelf.n.01	31	shelving	shelves	17	417	shelves	17	417	shelves	17	417
510	511	row of theater chairs	row of theater chairs	3		40.0	7.0		otherprop	Objects							40	misc		0	0		0	0		0	0
511	512	closet wall	wall	3	21.0	1.0	12.0	wall	wall	Wall					n04546855	wall.n.01	1	wall	wall	1	7667	wall	1	7667	wall	1	7667
512	513	bath utencils	bath utensil	3	267.0	40.0	7.0	utensil	otherprop	Objects							40	misc		0	0		0	0	utensil	132	8
513	514	sconce	sconce	3	62.0	38.0	7.0	light	otherstructure	Objects					n04148703	sconce.n.03	28	lighting		0	0		0	0	light	116	12
514	515	garage light	garage light	3	62.0	38.0	7.0	light	otherstructure	Objects							40	misc		0	0		0	0	light	116	12
515	516	ceiling beam	beam	3		38.0	7.0		otherstructure	Objects					n02815950	beam.n.02	29	beam		0	0		0	0		0	0
516	517	toolbox	toolbox	3	344.0	39.0	6.0	chest	otherfurniture	Furniture					n04452615	toolbox.n.01	39	objects		0	0	chest	70	36	chest	70	36
517	518	sponge stool	stool	3	150.0	40.0	7.0	stool	otherprop	Objects	stool				n04326896	stool.n.01	19	stool	stool	25	232	stool	25	232	stool	25	232
518	519	security camera	security camera	3	212.0	40.0	7.0	security camera	otherprop	Objects			camera	2942699.0	n02942699	camera.n.01	39	objects		0	0		0	0		0	0
519	520	gym machine	exercise equipment	3	457.0	39.0	6.0	excercise equipment	otherfurniture	Furniture					n04285146	sports_equipment.n.01	33	gym_equipment		0	0		0	0	excercise equipment	113	14
520	521	wall /outside	wall /outside	3	21.0	1.0	12.0	wall	wall	Wall					n04546855	wall.n.01	1	wall	wall	1	7667	wall	1	7667	wall	1	7667
521	522	mantle	mantle	3	874.0	38.0	7.0	mantle	otherstructure	Objects	mantel				n03719343	mantel.n.01	27	fireplace		0	0		0	0		0	0
522	523	floor 2	floor	3	11.0	2.0	5.0	floor	floor	Floor					n03365592	floor.n.01	2	floor	floor	4	2252	floor	4	2252	floor	4	2252
523	524	skirting	skirting	3		40.0	7.0		otherprop	Objects							40	misc		0	0		0	0		0	0
524	525	banister	banister	3	453.0	38.0	7.0	banister	otherstructure	Objects					n02788148	bannister.n.02	30	railing	banister	23	241	banister	23	241	banister	23	241
525	526	lockers	locker	3	3.0	3.0	6.0	cabinet	cabinet	Furniture					n02933462	cabinet.n.03	40	misc	cabinet	10	785	cabinet	10	785	cabinet	10	785
526	527	trophy	trophy	3	547.0	40.0	7.0	trophy	otherprop	Objects							40	misc		0	0		0	0		0	0
527	528	tile	tile	3		40.0	7.0		otherprop	Objects					n04435180	tile.n.01	39	objects		0	0		0	0		0	0
528	529	unknown / room below	unknown /otherroom	3	20.0	40.0	7.0	unknown	otherprop	Objects					n08632096	unknown.n.01	41	unlabeled		0	0		0	0		0	0
529	530	picture car	picture car	3	530.0	40.0	7.0	car	otherprop	Objects	car		car	2958343.0	n02958343	car.n.01	39	objects		0	0		0	0	car	137	7
530	531	outlet	outlet	3		40.0	7.0		otherprop	Objects					n04548771	wall_socket.n.01	39	objects		0	0		0	0		0	0
531	532	plant ridge	plant ridge	3		40.0	7.0		otherprop	Objects							40	misc		0	0		0	0		0	0
532	533	backsplash	backsplash	3		40.0	7.0		otherprop	Objects							40	misc		0	0		0	0		0	0
533	534	computer monitor	monitor	3	49.0	40.0	7.0	monitor	otherprop	Objects	monitor	monitor	tv or monitor	3211117.0	n03782190	monitor.n.04	22	tv_monitor		0	0	monitor	54	60	monitor	54	60
534	535	doorframe / other room	doorframe /otherroom	3	615.0	38.0	7.0	door frame	otherstructure	Objects					n03222722	doorframe.n.01	4	door		0	0		0	0		0	0
535	536	shower wall /otherroom	shower wall /otherroom	3	21.0	1.0	12.0	wall	wall	Wall					n04208936	shower.n.01	23	shower	wall	1	7667	wall	1	7667	wall	1	7667
536	537	shelves with wine	shelving	3	42.0	15.0	6.0	shelves	shelves	Furniture					n04190052	shelf.n.01	31	shelving	shelves	17	417	shelves	17	417	shelves	17	417
537	538	shoe	shoe	3	149.0	40.0	7.0	shoe	otherprop	Objects					n04199027	shoe.n.01	39	objects		0	0	shoe	77	32	shoe	77	32
538	539	hedge	hedge	3		40.0	7.0		otherprop	Objects					n03511175	hedge.n.01	40	misc		0	0		0	0		0	0
539	540	glass window	window	3	59.0	9.0	13.0	window	window	Window					n04587648	window.n.01	9	window	window	6	2013	window	6	2013	window	6	2013
